timestamp,participant,device,session,posture,trial,words_completed,syllables,jamo,cpm_syl,jpm,wpm,key_events,backspace,msd_error_pct,skips,presses,moves,backspaces,moves_per_press,correction_pct
2026-07-11T16:26:07,P1,KIH,S1,desk,1,2,5,11,5,11,2.2,31,2,0,,,,,,
2026-07-11T16:27:43,P1,KIH,S1,desk,2,1,6,17,6,17,3.4,39,3,0,,,,,,
2026-07-11T16:29:02,P1,KIH,S1,desk,3,4,9,23,9,23,4.6,41,0,0,,,,,,
2026-07-11T16:30:19,P1,KIH,S1,desk,4,2,7,15,7,15,3,47,4,0,,,,,,
2026-07-11T16:31:44,P1,KIH,S1,desk,5,2,7,18,7,18,3.6,38,2,0,,,,,,
2026-07-11T16:32:53,P1,KIH,S1,desk,6,4,10,28,10,28,5.6,51,2,0,,,,,,
2026-07-11T16:34:03,P1,KIH,S1,desk,7,1,4,8,4,8,1.6,20,2,0,,,,,,
2026-07-11T16:35:11,P1,KIH,S1,desk,8,4,8,22,8,22,4.4,56,3,4.55,,,,,,
2026-07-11T16:36:18,P1,KIH,S1,desk,9,4,10,26,10,26,5.2,54,3,0,,,,,,
2026-07-11T16:37:25,P1,KIH,S1,desk,10,4,9,23,9,23,4.6,50,2,0,,,,,,
2026-07-11T16:39:03,P1,KIH,S1,desk,11,3,9,23,9,23,4.6,53,4,0,,,,,,
2026-07-11T16:40:07,P1,KIH,S1,desk,12,6,13,34,13,34,6.8,63,2,0,,,,,,
2026-07-11T16:41:12,P1,KIH,S1,desk,13,8,16,41,16,41,8.2,73,0,2.44,,,,,,
2026-07-11T16:42:17,P1,KIH,S1,desk,14,6,15,39,15,39,7.8,62,0,0,,,,,,
2026-07-11T16:43:27,P1,KIH,S1,desk,15,7,19,46,19,46,9.2,77,0,0,,,,,,
2026-07-11T16:54:05,P1,TV_OSK,S1,desk,1,5,12,29,12,29,5.8,,,,0,29,190,0,6.552,0.0
2026-07-11T16:56:18,P1,TV_OSK,S1,desk,2,5,13,30,13,30,6,,,,0,30,170,0,5.667,0.0
2026-07-11T16:58:35,P1,TV_OSK,S1,desk,3,4,12,34,12,34,6.8,,,,0,34,155,0,4.559,0.0
2026-07-11T17:01:03,P1,TV_OSK,S1,desk,4,5,13,33,13,33,6.6,,,,0,33,166,0,5.03,0.0
2026-07-11T17:03:17,P1,TV_OSK,S1,desk,5,3,8,22,8,22,4.4,,,,0,29,169,3,5.828,31.82
2026-07-11T17:07:32,P1,TV_OSK,S1,desk,6,5,14,36,14,36,7.2,,,,0,36,187,0,5.194,0.0
2026-07-11T17:09:49,P1,TV_OSK,S1,desk,7,5,13,32,13,32,6.4,,,,0,32,182,0,5.688,0.0
2026-07-11T17:11:55,P1,TV_OSK,S1,desk,8,5,12,30,12,30,6,,,,0,36,185,3,5.139,20.0
2026-07-11T17:14:10,P1,TV_OSK,S1,desk,9,6,14,34,14,34,6.8,,,,0,36,184,1,5.111,5.88
2026-07-11T17:16:29,P1,TV_OSK,S1,desk,10,6,15,36,15,36,7.2,,,,0,36,190,0,5.278,0.0
2026-07-11T17:20:53,P1,TV_OSK,S1,desk,11,5,15,35,15,35,7,,,,0,35,190,0,5.429,0.0
2026-07-11T17:22:56,P1,TV_OSK,S1,desk,12,6,15,35,15,35,7,,,,0,35,211,0,6.029,0.0
2026-07-11T17:25:05,P1,TV_OSK,S1,desk,13,7,17,39,17,39,7.8,,,,0,39,219,0,5.615,0.0
2026-07-11T17:27:08,P1,TV_OSK,S1,desk,14,6,17,42,17,42,8.4,,,,0,42,223,0,5.31,0.0
2026-07-11T17:29:32,P1,TV_OSK,S1,desk,15,7,14,35,14,35,7,,,,0,37,166,1,4.486,5.71
2026-07-11T17:03:55,P2,KIH,S1,desk,1,4,11,24,11,24,4.8,53,3,0,,,,,,
2026-07-11T17:05:07,P2,KIH,S1,desk,2,6,14,34,14,34,6.8,57,0,0,,,,,,
2026-07-11T17:06:14,P2,KIH,S1,desk,3,6,14,35,14,35,7,72,3,0,,,,,,
2026-07-11T17:07:19,P2,KIH,S1,desk,4,8,19,49,19,49,9.8,82,1,0,,,,,,
2026-07-11T17:08:23,P2,KIH,S1,desk,5,8,18,45,18,45,9,83,3,2.22,,,,,,
2026-07-11T17:09:27,P2,KIH,S1,desk,6,8,17,44,17,44,8.8,75,0,6.82,,,,,,
2026-07-11T17:10:34,P2,KIH,S1,desk,7,8,19,47,19,47,9.4,76,0,4.26,,,,,,
2026-07-11T17:11:39,P2,KIH,S1,desk,8,9,22,50,22,50,10,80,0,10.87,,,,,,
2026-07-11T17:12:45,P2,KIH,S1,desk,9,7,17,45,17,45,9,73,0,4.44,,,,,,
2026-07-11T17:13:52,P2,KIH,S1,desk,10,9,22,55,22,55,11,85,0,2.04,,,,,,
2026-07-11T17:14:57,P2,KIH,S1,desk,11,9,18,51,18,51,10.2,80,0,7.84,,,,,,
2026-07-11T17:16:02,P2,KIH,S1,desk,12,9,19,47,19,47,9.4,75,0,13.46,,,,,,
2026-07-11T17:17:12,P2,KIH,S1,desk,13,9,21,49,21,49,9.8,81,0,2.04,,,,,,
2026-07-11T17:18:18,P2,KIH,S1,desk,14,7,16,41,16,41,8.2,82,2,4.88,,,,,,
2026-07-11T17:19:22,P2,KIH,S1,desk,15,9,20,53,20,53,10.6,83,0,5.66,,,,,,
2026-07-11T16:10:35,P2,TV_OSK,S1,desk,1,5,12,31,12,31,6.2,,,,0,33,171,1,5.182,6.45
2026-07-11T16:13:04,P2,TV_OSK,S1,desk,2,7,15,38,15,38,7.6,,,,0,38,175,0,4.605,0.0
2026-07-11T16:15:33,P2,TV_OSK,S1,desk,3,5,14,36,14,36,7.2,,,,0,36,175,0,4.861,0.0
2026-07-11T16:17:53,P2,TV_OSK,S1,desk,4,4,10,29,10,29,5.8,,,,0,30,184,0,6.133,3.45
2026-07-11T16:20:11,P2,TV_OSK,S1,desk,5,4,12,32,12,32,6.4,,,,0,36,176,2,4.889,12.5
2026-07-11T16:24:16,P2,TV_OSK,S1,desk,6,7,15,39,15,39,7.8,,,,0,41,169,0,4.122,5.13
2026-07-11T16:26:17,P2,TV_OSK,S1,desk,7,6,13,31,13,31,6.2,,,,0,43,160,5,3.721,38.71
2026-07-11T16:28:32,P2,TV_OSK,S1,desk,8,6,14,37,14,37,7.4,,,,0,37,189,0,5.108,0.0
2026-07-11T16:30:34,P2,TV_OSK,S1,desk,9,5,13,33,13,33,6.6,,,,0,33,164,0,4.97,0.0
2026-07-11T16:32:40,P2,TV_OSK,S1,desk,10,6,14,37,14,37,7.4,,,,0,38,197,0,5.184,2.7
2026-07-11T16:36:47,P2,TV_OSK,S1,desk,11,5,14,35,14,35,7,,,,0,35,197,0,5.629,0.0
2026-07-11T16:38:48,P2,TV_OSK,S1,desk,12,6,14,36,14,36,7.2,,,,0,39,190,1,4.872,8.33
2026-07-11T16:41:02,P2,TV_OSK,S1,desk,13,5,11,29,11,29,5.8,,,,0,33,159,2,4.818,13.79
2026-07-11T16:43:15,P2,TV_OSK,S1,desk,14,2,7,16,7,16,3.2,,,,0,35,138,7,3.943,118.75
2026-07-11T16:45:41,P2,TV_OSK,S1,desk,15,6,13,37,13,37,7.4,,,,0,37,190,0,5.135,0.0
2026-07-21T10:13:08,P3,KIH,S1,desk,1,1,3,7,3.0,7.0,1.4,9,1,21.41,,,,,,
2026-07-21T10:15:01,P3,KIH,S1,desk,2,1,2,5,2.0,5.0,1.0,9,1,17.92,,,,,,
2026-07-21T10:17:06,P3,KIH,S1,desk,3,1,3,7,3.0,7.0,1.4,10,1,13.0,,,,,,
2026-07-21T10:23:07,P3,KIH,S1,desk,4,1,3,7,3.0,7.0,1.4,14,1,10.54,,,,,,
2026-07-21T10:25:01,P3,KIH,S1,desk,5,1,4,9,4.0,9.0,1.8,14,1,9.39,,,,,,
2026-07-21T10:27:21,P3,KIH,S1,desk,6,1,4,10,4.0,10.0,2.0,13,1,8.02,,,,,,
2026-07-21T10:33:27,P3,KIH,S1,desk,7,2,5,11,5.0,11.0,2.2,18,1,7.84,,,,,,
2026-07-21T10:35:02,P3,KIH,S1,desk,8,2,6,14,6.0,14.0,2.8,23,1,6.47,,,,,,
2026-07-21T10:37:18,P3,KIH,S1,desk,9,2,6,16,6.0,16.0,3.2,26,1,5.16,,,,,,
2026-07-21T10:43:23,P3,KIH,S1,desk,10,3,8,20,8.0,20.0,4.0,32,1,3.88,,,,,,
2026-07-21T10:44:49,P3,KIH,S1,desk,11,3,9,23,9.0,23.0,4.6,34,1,3.82,,,,,,
2026-07-21T10:47:19,P3,KIH,S1,desk,12,4,10,25,10.0,25.0,5.0,35,1,3.61,,,,,,
2026-07-21T10:53:23,P3,KIH,S1,desk,13,5,13,32,13.0,32.0,6.4,49,1,2.55,,,,,,
2026-07-21T10:55:28,P3,KIH,S1,desk,14,6,14,34,14.0,34.0,6.8,50,1,2.32,,,,,,
2026-07-21T10:57:11,P3,KIH,S1,desk,15,7,17,42,17.0,42.0,8.4,63,1,2.06,,,,,,
2026-07-21T11:13:17,P3,TV_OSK,S1,desk,1,4,11,26,11,26,5.2,,,,0,33,135,3,4.091,26.92
2026-07-21T11:15:36,P3,TV_OSK,S1,desk,2,5,14,32,14,32,6.4,,,,0,32,157,0,4.906,0.0
2026-07-21T11:17:51,P3,TV_OSK,S1,desk,3,7,15,40,15,40,8,,,,0,40,140,0,3.5,0.0
2026-07-21T11:20:11,P3,TV_OSK,S1,desk,4,5,13,30,13,30,6,,,,0,30,139,0,4.633,0.0
2026-07-21T11:22:24,P3,TV_OSK,S1,desk,5,7,15,36,15,36,7.2,,,,0,37,149,0,4.027,2.78
2026-07-21T11:26:33,P3,TV_OSK,S1,desk,6,5,14,35,14,35,7,,,,0,35,130,0,3.714,0.0
2026-07-21T11:29:03,P3,TV_OSK,S1,desk,7,4,12,33,12,33,6.6,,,,1,36,142,1,3.944,9.09
2026-07-21T11:31:32,P3,TV_OSK,S1,desk,8,6,16,37,16,37,7.4,,,,0,37,152,0,4.108,0.0
2026-07-21T11:33:58,P3,TV_OSK,S1,desk,9,6,14,34,14,34,6.8,,,,0,34,134,0,3.941,0.0
2026-07-21T11:36:19,P3,TV_OSK,S1,desk,10,6,12,33,12,33,6.6,,,,0,35,160,1,4.571,6.06
2026-07-21T11:40:28,P3,TV_OSK,S1,desk,11,6,15,37,15,37,7.4,,,,0,38,171,0,4.5,2.7
2026-07-21T11:42:35,P3,TV_OSK,S1,desk,12,7,17,42,17,42,8.4,,,,0,42,181,0,4.31,0.0
2026-07-21T11:44:44,P3,TV_OSK,S1,desk,13,6,13,34,13,34,6.8,,,,0,36,148,1,4.111,5.88
2026-07-21T11:46:46,P3,TV_OSK,S1,desk,14,6,15,37,15,37,7.4,,,,0,39,132,0,3.385,5.41
2026-07-21T11:49:09,P3,TV_OSK,S1,desk,15,6,16,39,16,39,7.8,,,,0,40,154,0,3.85,2.56
2026-07-21T11:04:00,P4,KIH,S1,desk,1,1,4,11,4.0,11.0,2.2,17,2,17.48,,,,,,
